"id","lat","lon","juosta","pavadinimas","kodas","map_id"
802,NULL,NULL,NULL,NULL,"D11",214
803,NULL,NULL,NULL,NULL,"D10",214
804,NULL,NULL,NULL,NULL,"214 D9",214
805,NULL,NULL,NULL,NULL,"D8",214
806,NULL,NULL,NULL,NULL,"D7",214
807,NULL,NULL,NULL,NULL,"D6",214
808,NULL,NULL,NULL,NULL,"214 D5",214
809,NULL,NULL,NULL,NULL,"D4",214
810,NULL,NULL,NULL,NULL,"214 D2",214
811,NULL,NULL,NULL,NULL,"D1",214
812,NULL,NULL,NULL,NULL,"D23",213
813,NULL,NULL,NULL,NULL,"D22",213
814,NULL,NULL,NULL,NULL,"D21",213
815,NULL,NULL,NULL,NULL,"D20",213
816,NULL,NULL,NULL,NULL,"D19",213
817,NULL,NULL,NULL,NULL,"D18",213
818,NULL,NULL,NULL,NULL,"D17",213
819,NULL,NULL,NULL,NULL,"D16",213
820,NULL,NULL,NULL,NULL,"D14",213
821,NULL,NULL,NULL,NULL,"D13",213
822,NULL,NULL,NULL,NULL,"D12",213
823,NULL,NULL,NULL,NULL,"D11",213
824,NULL,NULL,NULL,NULL,"D10",213
825,NULL,NULL,NULL,NULL,"D9",213
826,NULL,NULL,NULL,NULL,"D8",213
827,NULL,NULL,NULL,NULL,"D7",213
828,NULL,NULL,NULL,NULL,"D6",213
829,NULL,NULL,NULL,NULL,"D5",213
830,NULL,NULL,NULL,NULL,"D3",213
831,NULL,NULL,NULL,NULL,"D2",213
832,NULL,NULL,NULL,NULL,"D1",213
834,NULL,NULL,2,NULL,"VD7.2",210
835,NULL,NULL,1,NULL,"VD7.1",210
836,NULL,NULL,1,NULL,"VD6.1",210
837,NULL,NULL,1,NULL,"VD5.1",210
839,NULL,NULL,3,NULL,"VD3.3",210
840,NULL,NULL,1,NULL,"VD 3.1",210
841,NULL,NULL,NULL,NULL,"VD2.1 ",210
842,NULL,NULL,1,NULL,"VD2.1",210
843,NULL,NULL,2,NULL,"VD1.2",210
844,NULL,NULL,1,NULL,"VD1.1",211
846,NULL,NULL,1,NULL,"VD5.1",210
847,NULL,NULL,2,NULL,"VD4.2",210
848,NULL,NULL,1,NULL,"VD4.1",210
849,NULL,NULL,2,NULL,"VD3.2",210
850,NULL,NULL,2,NULL,"VD2.2",210
851,NULL,NULL,1,NULL,"VD2.1",210
852,NULL,NULL,2,NULL,"VD1.2",210
853,NULL,NULL,1,NULL,"VD1.1",210
855,NULL,NULL,2,NULL,"VD2.2",209
856,NULL,NULL,1,NULL,"VD2.1",209
857,NULL,NULL,2,NULL,"VD1.2",209
859,NULL,NULL,3,NULL,"VD12.3",207
860,NULL,NULL,1,NULL,"VD12.1",207
861,NULL,NULL,1,NULL,"VD11.1",207
862,NULL,NULL,2,NULL,"VD10.2",207
863,NULL,NULL,1,NULL,"VD10.1",207
864,NULL,NULL,3,NULL,"VD9.3",207
865,NULL,NULL,2,NULL,"VD9.2",207
866,NULL,NULL,1,NULL,"VD9.1",207
867,NULL,NULL,1,NULL,"VD8.1",207
868,NULL,NULL,2,NULL,"VD7.2",207
869,NULL,NULL,1,NULL,"VD7.1",207
870,NULL,NULL,1,NULL,"VD6.1",207
871,NULL,NULL,2,NULL,"VD5.2",207
872,NULL,NULL,1,NULL,"VD5.1",207
874,NULL,NULL,2,NULL,"VD3.2",207
875,NULL,NULL,1,NULL,"VD3.1",207
876,NULL,NULL,1,NULL,"VD2.1",207
877,NULL,NULL,2,NULL,"VD1.2",207
878,NULL,NULL,NULL,NULL,"207 D1",207
879,NULL,NULL,2,NULL,"VD2.2",156
880,NULL,NULL,NULL,NULL,"D2",206
881,NULL,NULL,NULL,NULL,"D5",206
882,NULL,NULL,NULL,NULL,"D9",206
883,NULL,NULL,3,NULL,"VD3.3",206
884,NULL,NULL,1,NULL,"VD4.1",206
885,NULL,NULL,NULL,NULL,"D3",206
886,NULL,NULL,1,NULL,"VD1.1",206
887,NULL,NULL,2,NULL,"VD4.2",206
888,NULL,NULL,1,NULL,"VD2.1",206
889,NULL,NULL,NULL,NULL,"D8",206
890,NULL,NULL,NULL,NULL,"D6",206
891,NULL,NULL,2,NULL,"VD1.2",206
892,NULL,NULL,NULL,NULL,"D4",206
893,NULL,NULL,2,NULL,"VD2.2",206
894,NULL,NULL,NULL,NULL,"D4",608
895,NULL,NULL,NULL,NULL,"D5",608
896,NULL,NULL,NULL,NULL,"D6",608
897,NULL,NULL,2,NULL,"VD3.2",206
898,NULL,NULL,3,NULL,"VD1.3",206
899,NULL,NULL,NULL,NULL,"D1",206
901,NULL,NULL,2,NULL,"VD2.2",205
902,NULL,NULL,1,NULL,"VD2.1",205
903,NULL,NULL,2,NULL,"VD1.2",205
904,NULL,NULL,1,NULL,"VD1.1",205
906,NULL,NULL,1,NULL,"VD5.1",204
907,NULL,NULL,1,NULL,"VD4.1",204
908,NULL,NULL,1,NULL,"VD3.1",204
909,NULL,NULL,2,NULL,"VD2.2",204
910,NULL,NULL,2,NULL,"VD1.2",204
911,NULL,NULL,1,NULL,"VD1.1",204
912,NULL,NULL,NULL,NULL,"D16",203
913,NULL,NULL,NULL,NULL,"D15",203
914,NULL,NULL,NULL,NULL,"D14",203
915,NULL,NULL,NULL,NULL,"D13",203
916,NULL,NULL,NULL,NULL,"D12",203
917,NULL,NULL,NULL,NULL,"D11",203
918,NULL,NULL,NULL,NULL,"D10",203
919,NULL,NULL,NULL,NULL,"D9",203
920,NULL,NULL,NULL,NULL,"D7",203
921,NULL,NULL,NULL,NULL,"D6",203
922,NULL,NULL,NULL,NULL,"D5",203
923,NULL,NULL,NULL,NULL,"D4",203
924,NULL,NULL,NULL,NULL,"D3",203
925,NULL,NULL,NULL,NULL,"D2",203
926,NULL,NULL,NULL,NULL,"D1",203
927,NULL,NULL,NULL,NULL,"D7",608
928,NULL,NULL,NULL,NULL,"D9",102
929,NULL,NULL,NULL,NULL,"D15",102
934,NULL,NULL,2,NULL,"VD2.2",202
935,NULL,NULL,1,NULL,"VD4.1",202
936,NULL,NULL,1,NULL,"VD2.1",1031
937,NULL,NULL,2,NULL,"VD2.2",1031
938,NULL,NULL,1,NULL,"VD3.1",1031
939,NULL,NULL,2,NULL,"VD3.2",1031
940,NULL,NULL,2,NULL,"VD4.2",1031
941,NULL,NULL,1,NULL,"VD5.1",202
942,NULL,NULL,1,NULL,"VD1.1",202
943,NULL,NULL,2,NULL,"VD5.2",202
945,NULL,NULL,2,NULL,"VD8.2",201
946,NULL,NULL,1,NULL,"VD8.1",201
947,NULL,NULL,2,NULL,"VD7.2",201
948,NULL,NULL,1,NULL,"VD7.1",201
949,NULL,NULL,2,NULL,"VD6.2",201
950,NULL,NULL,1,NULL,"VD5.1",201
951,NULL,NULL,1,NULL,"VD4.1",201
952,NULL,NULL,3,NULL,"VD3.3",201
953,NULL,NULL,2,NULL,"VD3.2",201
954,NULL,NULL,1,NULL,"VD3.1",201
955,NULL,NULL,1,NULL,"VD2.1",201
958,NULL,NULL,1,NULL,"VD1.1",156
959,NULL,NULL,2,NULL,"VD1.2",202
962,NULL,NULL,1,NULL,"VD5.1",156
963,NULL,NULL,2,NULL,"VD5.2",156
965,NULL,NULL,2,NULL,"VD4.2",202
968,NULL,NULL,1,NULL,"VD2.1",156
970,NULL,NULL,2,NULL,"VD3.2",156
971,NULL,NULL,2,NULL,"VD4.2",156
994,NULL,NULL,NULL,NULL,"152 D9",152
995,NULL,NULL,1,NULL,"VD6.1",152
996,NULL,NULL,NULL,NULL,"152 D7",152
997,NULL,NULL,2,NULL,"VD4.2",152
998,NULL,NULL,1,NULL,"VD4.1",152
999,NULL,NULL,1,NULL,"VD3.1",152
1000,NULL,NULL,NULL,NULL,"D7",102
1001,NULL,NULL,NULL,NULL,"D8",102
1002,NULL,NULL,NULL,NULL,"102 D10",102
1003,NULL,NULL,NULL,NULL,"102 D11",102
1004,NULL,NULL,NULL,NULL,"D12",102
1005,NULL,NULL,NULL,NULL,"D13",102
1006,NULL,NULL,NULL,NULL,"D12",102
1007,NULL,NULL,NULL,NULL,"501 D8",501
1008,NULL,NULL,1,NULL,"VD1.1",861
1009,NULL,NULL,2,NULL,"VD1.2",861
1010,NULL,NULL,2,NULL,"VD1.2",501
1011,NULL,NULL,1,NULL,"VD2.1",501
1012,NULL,NULL,1,NULL,"VD3.1",501
1013,NULL,NULL,NULL,NULL,"D5",451
1014,NULL,NULL,1,NULL,"VD5.1",501
1015,NULL,NULL,1,NULL,"VD1.1",119
1016,NULL,NULL,2,NULL,"VD1.2",119
1017,NULL,NULL,1,NULL,"VD2.1",119
1018,NULL,NULL,NULL,NULL,"D2",121
1019,NULL,NULL,1,NULL,"VD3.1",119
1020,NULL,NULL,1,NULL,"VD5.1",119
1021,NULL,NULL,2,NULL,"VD5.2",119
1022,NULL,NULL,1,NULL,"VD4.1",119
1023,NULL,NULL,2,NULL,"VD4.2",119
1024,NULL,NULL,1,NULL,"VD1.1",120
1025,NULL,NULL,1,NULL,"VD2.1",120
1026,NULL,NULL,1,NULL,"VD2.1",152
1027,NULL,NULL,1,NULL,"VD1.1",101
