K;FD;DET;;
153 VD1.3;153 D3;383;;
153 VD2.1;153 D4;298;;
153 VD2.2;153 D5;475;;
153 VD4.1;153 D8;301;;
153 VD4.2;153 D9;299;;
153 VD5.1;153 D10;479;;
153 VD5.2;153 D11;302;;
154 VD1.2;154 D2;1421;;
154 VD3.1;154 D4;1423;;
154 VD4.1;154 D5;1424;;
154 VD4.2;154 D6;1425;;
155 VD1.1;155 D1;1434;;
155 VD1.2;155 D2;1426;;
155 VD2.1;155 D3;1433;;
155 VD2.2;155 D4;1442;;
156 VD1.1;156 D1;958;;
156 VD2.1;156 D2;968;;
156 VD2.2;156 D3;879;;
156 VD3.1;156 D4;96;;
156 VD3.2;156 D5;970;;
156 VD4.1;156 D6;97;;
156 VD4.2;156 D7;971;;
156 VD5.1;156 D8;962;;
156 VD5.2;156 D9;963;;
201 VD1.1;201 D1;158;;
201 VD1.2;201 D2;1583;;
201 VD2.1;201 D3;955;;
201 VD3.1;201 D4;954;;
201 VD3.2;201 D5;953;;
201 VD3.3;201 D6;952;;
201 VD4.1;201 D7;951;;
201 VD5.1;201 D8;950;;
201 VD6.1;201 D9;95;;
201 VD6.2;201 D10;949;;
201 VD7.1;201 D11;948;;
201 VD7.2;201 D12;947;;
201 VD8.1;201 D13;946;;
201 VD8.2;201 D14;945;;
201 VD9.1;201 D15;1584;;
202 VD1.1;202 D1;942;;
202 VD1.2;202 D2;959;;
202 VD2.1;202 D5;420;;
202 VD2.2;202 D3;934;;
202 VD3.1;202 D4;484;;
202 VD4.1;202 D7;935;;
202 VD4.2;202 D6;965;;
202 VD5.1;202 D8;941;;
202 VD5.2;202 D9;943;;
203 D1;203 D1;926;;
203 D10;203 D10;918;;
203 D11;203 D11;917;;
203 D12;203 D12;916;;
203 D13;203 D13;915;;
203 D14;203 D14;914;;
203 D15;203 D15;913;;
203 D16;203 D16;912;;
203 D2;203 D2;925;;
203 D3;203 D3;924;;
203 D4;203 D4;923;;
203 D5;203 D5;922;;
203 D6;203 D6;921;;
203 D7;203 D7;920;;
203 D8;203 D8;92;;
203 D9;203 D9;919;;
204 VD1.1;204 D1;911;;
204 VD1.2;204 D2;910;;
204 VD2.1;204 D3;91;;
204 VD2.2;204 D4;909;;
204 VD3.1;204 D5;908;;
204 VD4.1;204 D6;907;;
204 VD5.1;204 D7;906;;
205 VD1.1;205 D1;904;;
205 VD1.2;205 D2;903;;
205 VD2.1;205 D3;902;;
205 VD2.2;205 D4;901;;
206 D1;206 D12;899;;
206 D2;206 D13;880;;
206 D3;206 D14;885;;
206 D4;206 D15;892;;
206 D5;206 D16;881;;
206 D6;206 D17;890;;
206 D7;206 D18;90;;
206 D8;206 D19;889;;
206 D9;206 D20;882;;
206 VD1.1;206 D1;886;;
206 VD1.2;206 D2;891;;
206 VD1.3;206 D3;898;;
206 VD2.1;206 D4;888;;
206 VD2.2;206 D5;893;;
206 VD3.1;206 D6;9;;
206 VD3.2;206 D7;897;;
206 VD3.3;206 D8;883;;
206 VD4.1;206 D9;884;;
206 VD4.2;206 D10;887;;
206 VD4.3;206 D11;88;;
207 VD1.2;207 D2;877;;
207 VD10.1;207 D17;863;;
207 VD10.2;207 D18;862;;
207 VD11.1;207 D19;861;;
207 VD12.1;207 D20;860;;
207 VD12.2;207 D21;86;;
207 VD12.3;207 D22;859;;
207 VD2.1;207 D3;876;;
207 VD3.1;207 D4;875;;
207 VD3.2;207 D5;874;;
207 VD4.1;207 D6;876;;
207 VD5.1;207 D7;872;;
207 VD5.2;207 D8;871;;
207 VD6.1;207 D9;870;;
207 VD6.2;207 D10;87;;
207 VD7.1;207 D11;869;;
207 VD7.2;207 D12;868;;
207 VD8.1;207 D13;867;;
207 VD9.1;207 D14;866;;
207 VD9.2;207 D15;865;;
207 VD9.3;207 D16;864;;
209 VD1.1;209 D1;1616;;
209 VD1.2;209 D2;857;;
209 VD2.1;209 D3;856;;
209VD2.2;209 D4;855;;
210 VD1.1;210 D1;853;;
210 VD1.2;210 D2;852;;
210 VD2.1;210 D3;851;;
210 VD2.2;210 D4;850;;
210 VD3.1;210 D5;85;;
210 VD3.2;210 D6;849;;
210 VD4.1;210 D7;848;;
210 VD4.2;210 D8;847;;
210 VD5.1;210 D9;846;;
211 VD1.1;210 D1;844;;
210 VD1.2;211 D2;843;;
210 VD2.1 ;211 D4;841;;
210 VD2.1;211 D3;842;;
210 VD 3.1;211 D5;840;;
210 VD3.2;211 D6;84;;
210 VD3.3;211 D7;839;;
210 VD4.1;211 D8;840;;
210 VD5.1;211 D9;837;;
210 VD6.1;211 D10;836;;
210 VD7.1;211 D11;835;;
210 VD7.2;211 D12;834;;
213 D1;213 D1;832;;
213 D10;213 D10;824;;
213 D11;213 D11;823;;
213 D12;213 D12;822;;
213 D13;213 D13;821;;
213 D14;213 D14;820;;
213 D15;213 D15;82;;
213 D16;213 D16;819;;
213 D17;213 D17;818;;
213 D18;213 D18;817;;
213 D19;213 D19;816;;
213 D2;213 D2;831;;
213 D20;213 D20;815;;
213 D21;213 D21;814;;
213 D22;213 D22;813;;
213 D23;213 D23;812;;
213 D3;213 D3;830;;
213 D4;213 D4;83;;
213 D5;213 D5;829;;
213 D6;213 D6;828;;
213 D7;213 D7;827;;
213 D8;213 D8;826;;
213 D9;213 D9;825;;
214 D1;214 D1;811;;
214 D10;214 D10;803;;
214 D11;214 D11;802;;
214 D12;214 D12;801;;
214 D13;214 D13;800;;
214 D14;214 D14;80;;
214 D15;214 D15;8;;
214 D16;214 D16;799;;
214 D2;214 D2;32;;
214 D3;214 D3;81;;
214 D4;214 D4;809;;
214 D5;214 D5;322;;
214 D6;214 D6;807;;
214 D7;214 D7;806;;
214 D8;214 D8;805;;
214 D9;214 D9;326;;
215 VD12.1;215 D21;1370;;
215 VD1.1;215 D1;1367;;
215 VD1.2 (7.1);215 D12;1361;;
215 VD10.1;215 D17;1373;;
215 VD10.2;215 D18;1358;;
215 VD11.1;216 D11;750;;
215 VD11.2;215 D20;1359;;
215 VD2.1;215 D3;1365;;
215 VD3.1;215 D4;1368;;
215 VD3.2;215 D5;1356;;
215 VD4.1;215 D6;1355;;
215 VD4.2;215 D7;1372;;
215 VD5.1;215 D8;1374;;
215 VD6.1;215 D10;1369;;
215 VD6.2;215 D11;1364;;
215 VD7.1;215 D12;1361;;
215 VD8.1;215 D13;1360;;
215 VD8.2;215 D14;1371;;
215 VD8.3;215 D15;1366;;
215 VD9.1;215 D16;1363;;
216 D1;216 D1;76;;
216 D10;216 D10;751;;
216 D11;216 D11;750;;
216 D12;216 D12;75;;
216 D13;216 D13;749;;
216 D14;216 D14;748;;
216 D15;216 D15;747;;
216 D16;216 D16;746;;
216 D17;216 D17;745;;
216 D18;216 D18;744;;
216 D19;216 D19;743;;
216 D2;216 D2;759;;
216 D20;216 D20;742;;
216 D3;216 D3;758;;
216 D4;216 D4;757;;
216 D5;216 D5;756;;
216 D6;216 D6;755;;
216 D7;216 D7;754;;
216 D8;216 D8;753;;
216 D9;216 D9;752;;
217 VD1.1;217 D1;74;;
217 VD1.2;217 D2;739;;
217 VD2.1;217 D3;738;;
217 VD2.2;217 D4;737;;
251 D1;251 D1;699;;
251 D10;251 D10;704;;
251 D11;251 D11;693;;
251 D12;251 D12;724;;
251 D13;251 D13;706;;
251 D14;251 D14;694;;
251 D2;251 D2;727;;
251 D3;251 D3;73;;
251 D4;251 D4;705;;
251 D5;251 D5;722;;
251 D6;251 D6;711;;
251 D7;251 D7;728;;
251 D8;251 D8;709;;
251 D9;251 D9;702;;
252 D1;252 D1;701;;
252 D10;252 D10;703;;
252 D11;252 D11;717;;
252 D12;252 D12;724;;
252 D13;252 D13;732;;
252 D2;252 D2;718;;
252 D3;252 D3;708;;
252 D4;252 D4;691;;
252 D5;252 D5;726;;
252 D6;252 D6;70;;
252 D7;252 D7;714;;
252 D8;252 D8;712;;
252 D9;252 D9;697;;
253 D1;253 D1;700;;
253 D2;253 D2;71;;
253 D3;253 D3;715;;
253 D4;253 D4;7;;
254 D1;254 D1;695;;
254 D2;254 D2;721;;
